,audience_count,content_rating,runtime,production_company_popularity,actor_popularity,Main_Genre,director_popularity,author_popularity,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
3713,247,NR,82.0,NOT POPULAR,NOT POPULAR,Horror,NOT POPULAR,NOT POPULAR,2,3,4
3714,8854,R,116.0,SUPER POPULAR,POPULAR,Drama,POPULAR,POPULAR,38,98,43
3716,227,R,110.0,PRETTY DECENT,SUPER POPULAR,Action & Adventure,NOT POPULAR,NOT POPULAR,5,4,14
3717,53316,PG-13,117.0,WORLDCLASS,WORLDCLASS,Comedy,SUPER POPULAR,PRETTY DECENT,33,20,118
3718,1846,PG-13,106.0,NOT THAT POPULAR,NOT THAT POPULAR,Drama,POPULAR,PRETTY DECENT,15,25,12
3719,35259,R,107.0,WORLDCLASS,POPULAR,Drama,SUPER POPULAR,PRETTY DECENT,35,3,108
3721,263,NR,86.0,PRETTY DECENT,NOT POPULAR,Documentary,NOT POPULAR,NOT POPULAR,7,15,7
3723,2256,NR,91.0,NOT THAT POPULAR,NOT THAT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,16,34,3
3724,357,R,106.0,PRETTY DECENT,POPULAR,Drama,NOT POPULAR,NOT POPULAR,8,4,17
3725,13202,PG-13,99.0,POPULAR,SUPER POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,6,6,18
3726,9600,R,82.0,WORLDCLASS,PRETTY DECENT,Action & Adventure,POPULAR,PRETTY DECENT,2,7,6
3728,2635,PG-13,114.0,WORLDCLASS,NOT THAT POPULAR,Comedy,POPULAR,NOT THAT POPULAR,41,225,28
3730,2400,R,95.0,NOT THAT POPULAR,NOT THAT POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,38,161,10
3731,57,PG,81.0,WHO?,POPULAR,Animation,WHO?,WHO?,1,2,4
3732,4601,R,106.0,WORLDCLASS,NOT THAT POPULAR,Drama,POPULAR,POPULAR,5,15,9
3733,245,NR,93.0,NOT POPULAR,POPULAR,Action & Adventure,NOT POPULAR,NOT POPULAR,3,8,3
3734,100,NR,80.0,PRETTY DECENT,WHO?,Horror,NOT THAT POPULAR,NOT THAT POPULAR,4,38,5
3735,1571,NR,96.0,WORLDCLASS,PRETTY DECENT,Comedy,POPULAR,PRETTY DECENT,3,17,5
3736,7794,R,93.0,SUPER POPULAR,SUPER POPULAR,Drama,PRETTY DECENT,POPULAR,7,12,13
3737,1449,G,99.0,NOT THAT POPULAR,PRETTY DECENT,Kids & Family,NOT THAT POPULAR,NOT THAT POPULAR,2,4,2
3738,96709,R,103.0,SUPER POPULAR,POPULAR,Comedy,SUPER POPULAR,POPULAR,37,117,10
